　　　　　　　　电影名称　　　　　　　　	    评分    	   评论人数   	短评　　　　　　　　
　　　　　　　　恐怖游轮　　　　　　　　	   8.4    	  378055  	不要企图在重复中寻找已经失去的爱。
　　　　　　　　　房间　　　　　　　　　	   8.8    	  186027  	被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
　　　　　　　　一次别离　　　　　　　　	   8.7    	  148833  	只有有信仰的人才能说出事实真相。
　　　　　　　　战争之王　　　　　　　　	   8.6    	  194511  	做一颗让别人需要你的棋子。
　　　　　　　　　追随　　　　　　　　　	   8.9    	  92746   	诺兰的牛逼来源于内心散发出的恐惧。
　　　　　　　　　撞车　　　　　　　　　	   8.6    	  193734  	天使与魔鬼的冲撞。　
　　　　　　　　模仿游戏　　　　　　　　	   8.6    	  296664  	他给机器起名“克里斯托弗”，因为这是他初恋的名字。
　　　　一个叫欧维的男人决定去死　　　　	   8.8    	  149811  	惠及一生的美丽。　　
　　　　　　　忠犬八公物语　　　　　　　	   9.0    	  73439   	养狗三日，便会对你终其一生。
　　　　　　　地球上的星星　　　　　　　	   8.9    	  98392   	天使保护事件始末。　
　　　　　　　魔女宅急便　　　　　　　　	   8.5    	  225002  	宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
　　　　　　　完美陌生人　　　　　　　　	   8.6    	  246334  	来啊，互相伤害啊！　
　　　　　　　　谍影重重　　　　　　　　	   8.5    	  220273  	哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
　　　　　　　谍影重重2　　　　　　　　	   8.6    	  182907  	谁说王家卫镜头很晃？
　　　　　牯岭街少年杀人事件　　　　　　	   8.8    	  123175  	弱者送给弱者的一刀。
　　　　　　　　哪吒闹海　　　　　　　　	   8.9    	  96129   	想你时你在闹海。　　
　　　　　　　梦之安魂曲　　　　　　　　	   8.7    	  125918  	一场没有春天的噩梦。
　　　　　　　　　青蛇　　　　　　　　　	   8.5    	  256366  	人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
　　　　　　　　惊魂记　　　　　　　　　	   8.9    	  98022   	故事的反转与反转，分裂电影的始祖。
　　　　　黑客帝国3：矩阵革命　　　　　	   8.6    	  181230  	不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
　　　　　　小萝莉的猴神大叔　　　　　　	   8.5    	  201954  	宝莱坞的萝莉与大叔。
　　　　　再次出发之纽约遇见你　　　　　	   8.5    	  200827  	爱我就给我看你的播放列表。
　　　　　　　　东京物语　　　　　　　　	   9.2    	  59868   	东京那么大，如果有一天走失了，恐怕一辈子不能再相见。
　　　　　　　新龙门客栈　　　　　　　　	   8.5    	  213308  	嬉笑怒骂，调风动月。
　　　　　　　　海街日记　　　　　　　　	   8.7    	  164368  	是枝裕和的家庭习作。
　　　　　　　　步履不停　　　　　　　　	   8.8    	  104261  	日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
　　　　　　　　源代码　　　　　　　　　	   8.4    	  452930  	邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
　　　　　　终结者2：审判日　　　　　　	   8.6    	  161019  	少见的超越首部的续集，动作片中的经典。
　　　　　　　　绿里奇迹　　　　　　　　	   8.7    	  121877  	天使暂时离开。　　　
　　　　　　　　末路狂花　　　　　　　　	   8.7    	  118579  	没有了退路，只好飞向自由。
　　　　　　　初恋这件小事　　　　　　　	   8.3    	  525485  	黑小鸭速效美白记。　
　　　　　　　无敌破坏王　　　　　　　　	   8.7    	  214184  	迪士尼和皮克斯拿错剧本的产物。
　　　　　　　秒速5厘米　　　　　　　　	   8.3    	  345176  	青春就是放弃和怀念。
　　　　　　　　城市之光　　　　　　　　	   9.2    	  52487   	永远的小人物，伟大的卓别林。
　　　　　　　　无耻混蛋　　　　　　　　	   8.5    	  250329  	昆汀同学越来越变态了，比北野武还杜琪峰。
　　　　　　爱在午夜降临前　　　　　　　	   8.8    	  135418  	所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
　　　　　　这个男人来自地球　　　　　　	   8.5    	  207112  	科幻真正的魅力不是视觉效果能取代的。 
　　　　　　　　碧海蓝天　　　　　　　　	   8.7    	  114707  	在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。
　　　　　　　疯狂的石头　　　　　　　　	   8.3    	  363817  	中国版《两杆大烟枪》。
　　　　　　　勇闯夺命岛　　　　　　　　	   8.6    	  158166  	类型片的极致。 　　
　　　　　　E.T. 外星人　　　　　　	   8.5    	  175733  	生病的E.T.皮肤的颜色就像柿子饼。
　　　　　　　　　变脸　　　　　　　　　	   8.4    	  238209  	当发哥的风衣、墨镜出现在了凯奇身上⋯⋯
